pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
138.4875,-113.85,180.0,top,C1,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22uF/10V(20%),smt
134.2875,-113.85,0.0,top,C2,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22uF/10V(20%),smt
161.525,-114.0625,90.0,top,C3,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF/50V(10%),smt
124.375,-112.585,0.0,top,D1,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,RED LED,smt
129.45,-74.775,-90.0,top,D2,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED,smt
160.45,-125.375,-90.0,top,D3,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED,smt
130.675,-124.94,-90.0,top,D4,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED,smt
161.1,-74.575,-90.0,top,D5,,,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED,smt
129.55,-85.0,-90.0,top,D6,,,D_SOD-123,1N4148,smt
161.5,-84.85,90.0,top,D7,,,D_SOD-123,1N4148,smt
160.5,-119.3,90.0,top,D8,,,D_SOD-123,1N4148,smt
130.575,-118.865,-90.0,top,D9,,,D_SOD-123,1N4148,smt
127.7,-91.46,0.0,top,J6,,,PinHeader_1x04_P2.54mm_Vertical,I2C,tht
163.5,-97.65,180.0,top,J7,,,PinHeader_1x04_P2.54mm_Vertical,TXD0/RXD0,tht
163.5,-109.05,180.0,top,J8,,,PinHeader_1x04_P2.54mm_Vertical,I2C,tht
125.7125,-84.1,180.0,top,Q1,,,SOT-23,SI2300,smt
165.5875,-84.05,0.0,top,Q2,,,SOT-23,SI2300,smt
163.9875,-120.0,0.0,top,Q3,,,SOT-23,SI2300,smt
126.9875,-119.615,180.0,top,Q4,,,SOT-23,SI2300,smt
128.275,-112.6,180.0,top,R1,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K(5%),smt
129.45,-78.8,90.0,top,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K(5%),smt
160.5,-129.4,90.0,top,R3,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K(5%),smt
130.725,-129.005,90.0,top,R4,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K(5%),smt
161.1,-78.8,90.0,top,R5,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
165.6,-114.05,0.0,top,SW1,,,SW_Push_1P1T_NO_CK_KMR2,SW_Push,smt
126.75,-105.9,90.0,top,U1,,,SOT-223-3_TabPin2,AMS1117-3.3,smt
132.6,-131.15,90.0,top,U2,,,MPU-9250-6500,MPU9250/6500,tht
146.0,-85.9,180.0,bottom,U3,,,ESP32_30pin vertical WIFI,ESP32 Dev Kit,tht
125.7,-77.3,-90.0,top,U4,,,Connector_Motor,~,tht
164.7,-77.15,-90.0,top,U5,,,Connector_Motor,~,tht
164.05,-126.8,90.0,top,U6,,,Connector_Motor,~,tht
126.975,-126.415,90.0,top,U7,,,Connector_Motor,~,tht
